family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Orthoherpesviridae,Caprine gammaherpesvirus 2,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,47,3.44E-06,3.436410191
Orthoherpesviridae,Human betaherpesvirus 5,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,40,3.15E-06,3.154241793
Orthoherpesviridae,Human herpesvirus 5 strain Merlin,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,4,3.15E-07,0.315424179
Orthoherpesviridae,Ovine gammaherpesvirus 2,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,72,5.74E-06,5.738946196
Papillomaviridae,Human papillomavirus 4,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,5,1.44E-07,0.143651775
Partitiviridae,Mute swan feces associated partitiviridae E,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,13,8.63E-07,0.862574498
Partitiviridae,Partitiviridae sp.,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,5,43,46,318,1.39E-05,13.86163015
Partitiviridae,Partitiviridae sp. gcode 4,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,8,2.97E-07,0.297057556
Parvoviridae,Adeno-associated virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,4,43,46,22,1.73E-06,1.734832986
Parvoviridae,Canine parvovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,6,43,46,11,7.33E-07,0.732721267
Parvoviridae,Chicken parvovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,12,7.08E-07,0.708362732
Parvoviridae,Protoparvovirus sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,79,5.87E-06,5.869299942
Parvoviridae,adeno-associated virus 2,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,8,6.31E-07,0.630848359
Phycodnaviridae,Acanthocystis turfacea Chlorella virus Br0604L,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,17,8.58E-07,0.858085304
Picobirnaviridae,Agile wallaby-associated picobirnavirus 9,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,21,9.54E-07,0.954
Picobirnaviridae,Bovine picobirnavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,713,3.28E-05,32.75
Picobirnaviridae,Bovine picobirnavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,4,43,46,836,6.82E-05,68.2
Picobirnaviridae,Chicken picobirnavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,2,43,46,7,2.83E-07,0.282565514
Picobirnaviridae,Chicken picobirnavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,5,1.86E-07,0.185660972
Picobirnaviridae,Dromedary picobirnavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,88,3.44E-06,3.435833348
Picobirnaviridae,Dromedary picobirnavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,4,43,46,2467,9.33E-05,93.3
Picobirnaviridae,Fox picobirnavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,1288,4.87E-05,48.7
Picobirnaviridae,Hubei picobirnavirus 52,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,10,4.04E-07,0.40366502
Picobirnaviridae,Human picobirnavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,3,43,46,41,1.54E-06,1.538765003
Picobirnaviridae,Marmot picobirnavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,40,2.29E-06,2.290280025
Picobirnaviridae,Picobirnaviridae sp.,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,3,43,46,29,1.09E-06,1.091527847
Picobirnaviridae,Picobirnaviridae sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,3,43,46,110,6.35E-06,6.353949802
Picobirnaviridae,Picobirnavirus PREDICT_PbV-24,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,143,6.42E-06,6.422320786
Picobirnaviridae,Picobirnavirus PREDICT_PbV-70,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,2456,9.12E-05,91.19666963
Picobirnaviridae,Picobirnavirus PREDICT_PbV-73,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,12,4.84E-07,0.484398024
Picobirnaviridae,Picobirnavirus SPBV-3,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,22,1.52E-06,1.52
Picobirnaviridae,Picobirnavirus sp.,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,8,43,46,19789,0.000894682,894.6823234
Picobirnaviridae,Picobirnavirus sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,8,43,46,2419,0.000142201,142.2009477
Picobirnaviridae,Porcine picobirnavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,6,43,46,3223,0.000161698,161.6984703
Picobirnaviridae,Porcine picobirnavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,6,43,46,30308,0.001167909,1167.90914
Picobirnaviridae,Simian picobirnavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,1862,7.66E-05,76.6
Picobirnaviridae,Tasmanian devil-associated picobirnavirus 4,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,8,6.31E-07,0.630848359
Picobirnaviridae,nabpantry virus 10,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,108,4.44E-06,4.44
Picornaviridae,Anativirus sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,3,43,46,17,1.13E-06,1.132387413
Picornaviridae,Coyote tobacco stunting virus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,7,2.83E-07,0.282565514
Picornaviridae,Phacovirus sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,4,2.66E-07,0.266444097
Picornaviridae,Picornaviridae sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,4,2.66E-07,0.266444097
Pneumoviridae,Bovine orthopneumovirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,202,9.12E-06,9.117533573
Pneumoviridae,Ovine respiratory syncytial virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,30,1.32E-06,1.316059034
Pneumoviridae,bovine respiratory syncytial virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,27,1.18E-06,1.184453131
Poxviridae,Orf virus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,7,43,46,13331,0.000630094,630.094126
Poxviridae,Orf virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,7,43,46,243,8.99E-06,8.99373666
Rhabdoviridae,Citrus leprosis virus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,12,4.84E-07,0.484398024
